student_id,gender,age,parent_education,attendance_rate,study_hours,previous_gpa,final_grade,assignment_score_avg,exam_score_avg,class_participation,late_submissions,previous_gpa_sem1,previous_gpa_sem2
S20000,Female,21,Master,0.88,6.2,9.04,94.8,84.4,98.7,10.0,1,8.52,9.04
S20001,Male,24,Master,0.63,1.2,9.15,50.6,38.1,41.2,7.1,5,9.09,9.83
S20002,Female,22,Bachelor,0.73,5.4,8.12,82.5,62.6,97.3,8.9,2,7.96,8.77
S20003,Male,18,Master,0.74,4.1,6.82,64.6,52.8,69.1,7.6,2,6.54,7.33
S20004,Female,19,PhD,0.91,4.7,8.79,89.1,76.7,91.7,9.4,1,8.68,8.89
S20005,Female,19,Master,0.95,1.2,8.32,58.3,55.5,46.1,9.6,0,7.83,8.93
S20006,Female,22,High School,0.66,5.5,5.51,66.5,65.1,59.4,7.9,3,5.27,6.04
S20007,Female,17,Bachelor,0.9,5.0,9.47,68.6,54.4,70.6,9.6,3,9.38,9.72
S20008,Male,22,High School,0.96,7.7,7.27,90.4,100.0,91.5,10.0,0,7.17,7.61
S20009,Female,17,Bachelor,0.94,7.3,5.65,81.9,92.8,84.6,10.0,1,5.63,5.67
S20010,Male,24,PhD,0.7,6.7,7.99,82.1,68.4,95.4,8.5,3,7.92,8.53
S20011,Female,24,High School,0.82,1.5,5.15,53.7,43.3,44.3,9.9,1,5.06,5.57
S20012,Male,22,PhD,0.84,5.8,8.01,77.3,77.6,88.1,9.7,1,7.99,8.48
S20013,Female,20,PhD,0.66,1.4,6.62,54.8,41.0,56.2,7.3,4,6.25,7.25
S20014,Male,20,PhD,0.72,5.6,6.97,78.8,72.7,90.8,8.2,2,6.62,7.03
S20015,Male,24,Bachelor,0.74,7.7,7.41,88.0,90.8,95.6,9.1,2,7.16,7.74
S20016,Male,21,PhD,0.87,2.1,6.02,57.6,55.6,61.5,9.8,1,5.39,6.5
S20017,Male,22,Bachelor,0.76,4.1,8.7,67.0,59.4,74.1,8.5,4,8.16,9.14
S20018,Female,20,Master,0.91,6.2,6.73,87.9,79.8,86.2,10.0,2,6.45,7.29
S20019,Male,23,Bachelor,0.65,7.9,8.01,74.8,78.4,100.0,8.1,5,7.54,8.52
S20020,Male,21,Master,0.84,1.2,6.01,46.3,41.4,40.6,9.3,2,5.63,6.67
S20021,Male,17,Bachelor,0.8,6.5,7.03,80.2,82.9,83.7,9.0,1,6.54,7.23
S20022,Female,20,PhD,0.95,2.4,5.98,62.3,61.2,40.9,10.0,0,5.93,6.44
S20023,Female,24,Bachelor,0.79,8.0,8.33,90.5,80.6,100.0,8.5,4,8.25,8.58
S20024,Male,21,Bachelor,0.86,2.2,6.67,60.8,56.6,45.1,9.3,3,6.19,6.99
S20025,Male,19,Master,0.93,3.0,6.1,65.0,66.9,56.7,10.0,2,5.8,6.51
S20026,Female,17,PhD,0.9,3.3,8.84,77.9,78.3,67.5,10.0,0,8.17,9.27
S20027,Female,24,High School,0.62,2.3,6.6,48.3,42.5,59.2,6.4,4,6.11,6.73
S20028,Male,21,High School,0.69,1.4,5.89,36.7,42.5,42.1,8.8,5,5.28,6.08
S20029,Male,23,Bachelor,0.8,4.2,5.8,63.8,57.7,54.3,8.4,2,5.51,6.29
S20030,Female,19,Master,0.85,7.0,9.52,92.0,82.8,100.0,9.6,1,9.04,9.55
S20031,Male,23,PhD,0.81,3.4,5.64,54.8,65.0,35.2,9.8,3,5.43,6.29
S20032,Male,18,Bachelor,0.86,2.6,9.55,73.1,54.6,75.7,10.0,2,8.91,9.56
S20033,Female,22,High School,0.82,5.9,8.89,86.3,84.2,100.0,8.6,1,8.82,9.14
S20034,Female,18,PhD,0.9,4.7,5.09,70.1,77.5,65.0,9.4,1,5.06,5.59
S20035,Male,21,PhD,0.88,4.3,6.77,75.2,72.5,67.1,9.0,1,6.73,7.43
S20036,Male,18,Bachelor,0.76,6.0,5.3,67.2,67.0,81.4,8.9,3,5.02,5.42
S20037,Female,23,Bachelor,0.61,4.3,8.44,61.0,54.9,69.1,7.4,4,7.82,9.09
S20038,Female,22,High School,0.92,7.1,5.76,82.4,91.6,81.1,10.0,0,5.5,5.99
S20039,Male,21,PhD,0.85,7.8,5.93,84.2,84.9,96.9,9.8,1,5.48,5.99
S20040,Female,23,High School,0.72,6.7,5.28,65.5,80.3,72.4,7.8,2,4.96,5.3
S20041,Female,24,Master,0.75,1.4,8.64,52.0,42.7,36.7,9.0,3,8.24,9.07
S20042,Male,22,PhD,0.66,6.0,6.68,65.4,71.1,88.6,7.5,5,6.04,7.15
S20043,Male,22,High School,0.66,4.5,8.43,62.5,58.0,74.3,7.6,3,7.78,8.96
S20044,Male,18,Master,0.88,4.0,7.54,70.7,75.0,62.1,10.0,2,7.17,7.94
S20045,Female,23,PhD,0.82,7.8,5.7,92.8,81.4,100.0,9.6,1,5.01,5.94
S20046,Male,23,Master,0.87,7.5,9.42,88.3,89.9,100.0,8.9,2,9.07,9.68
S20047,Male,20,High School,0.78,2.0,7.93,58.3,47.5,64.3,9.7,4,7.61,8.22
S20048,Male,21,Bachelor,0.82,3.6,8.84,68.3,64.0,75.0,9.9,3,8.73,9.13
S20049,Male,18,Master,0.98,1.4,9.26,71.8,60.5,54.1,10.0,0,9.0,9.86
S20050,Female,23,PhD,0.84,5.4,9.4,86.9,64.7,100.0,10.0,3,9.2,10.0
S20051,Female,20,PhD,0.76,1.9,5.55,53.9,52.6,24.7,9.2,3,5.26,5.94
S20052,Female,23,High School,0.82,7.7,7.86,86.2,92.6,100.0,8.9,3,7.66,8.29
S20053,Female,17,Bachelor,0.87,4.2,8.17,78.5,70.1,74.3,9.5,3,7.69,8.47
S20054,Male,23,High School,0.62,2.4,8.63,59.3,41.8,71.4,7.6,5,8.55,9.03
S20055,Female,20,PhD,0.68,5.6,5.72,64.2,70.3,68.4,7.9,4,5.63,6.05
S20056,Male,20,PhD,0.7,4.9,7.98,66.2,66.1,74.1,8.1,5,7.42,8.57
S20057,Female,23,PhD,0.95,7.9,5.41,86.6,97.6,89.0,10.0,0,5.12,5.97
S20058,Male,18,Master,0.78,5.6,5.91,72.5,73.9,87.3,7.9,4,5.62,5.91
S20059,Male,24,Master,0.74,5.2,5.87,62.6,63.5,77.9,7.7,3,5.45,6.19
S20060,Male,22,High School,0.75,3.5,7.66,62.2,59.9,62.4,9.0,2,7.1,7.95
S20061,Female,18,Bachelor,0.75,4.3,5.39,60.4,50.1,54.9,8.7,4,4.99,5.48
S20062,Female,24,Master,0.71,1.7,5.27,60.0,45.6,50.3,8.1,3,5.06,5.75
S20063,Male,20,Master,0.67,2.4,9.76,66.1,46.6,75.8,7.4,3,9.3,9.83
S20064,Male,17,Master,0.99,5.5,9.26,83.5,79.0,87.8,10.0,2,8.78,9.75
S20065,Male,18,Master,0.63,2.1,8.9,47.3,44.1,60.3,7.0,4,8.85,9.04
S20066,Female,19,PhD,0.91,7.4,6.89,95.7,87.0,100.0,10.0,1,6.38,7.12
S20067,Female,20,Master,0.84,3.4,9.9,62.6,58.3,60.7,10.0,1,9.36,10.0
S20068,Male,18,Bachelor,0.65,7.7,9.18,72.2,73.9,100.0,8.5,3,8.74,9.49
S20069,Female,19,PhD,0.64,2.0,7.99,54.3,37.6,48.2,6.8,5,7.82,8.61
S20070,Female,24,PhD,0.96,5.0,6.37,80.0,69.9,73.7,10.0,0,5.9,6.76
S20071,Male,24,High School,0.76,2.3,6.85,54.9,52.7,60.0,8.5,2,6.41,7.47
S20072,Female,24,Bachelor,0.67,2.0,5.35,41.4,40.7,29.8,7.5,4,5.27,5.61
S20073,Female,17,Bachelor,0.66,2.2,6.36,52.1,53.3,59.5,7.6,5,5.76,6.6
S20074,Female,24,PhD,0.65,3.2,8.54,63.5,51.9,82.7,6.6,5,8.42,8.81
S20075,Male,18,Bachelor,0.89,6.6,8.46,79.1,82.3,88.6,9.7,2,7.97,8.77
S20076,Female,21,Bachelor,0.64,7.0,6.81,70.8,73.2,87.6,7.4,3,6.24,7.4
S20077,Male,24,Bachelor,0.89,3.1,8.27,66.8,62.6,65.9,10.0,3,7.67,8.93
S20078,Female,21,PhD,0.71,1.4,8.47,54.1,41.3,59.1,8.6,3,8.23,8.99
S20079,Male,22,Bachelor,0.68,6.4,8.09,68.6,67.5,99.1,8.4,4,7.85,8.77
S20080,Female,20,PhD,0.82,5.2,5.61,67.0,69.9,69.2,8.8,3,5.13,6.23
S20081,Female,21,Master,0.9,3.0,5.15,64.8,70.8,53.1,9.3,1,5.13,5.49
S20082,Female,19,Master,0.87,3.8,8.55,77.8,70.3,71.7,9.9,1,8.01,8.78
S20083,Female,22,PhD,0.63,4.3,8.02,69.6,60.8,79.1,8.3,4,7.58,8.46
S20084,Female,17,PhD,0.71,5.3,9.4,68.4,74.6,80.3,7.5,4,8.71,9.68
S20085,Female,23,Master,0.66,5.2,5.34,65.6,69.4,70.8,8.3,5,4.91,5.34
S20086,Female,23,Bachelor,0.71,1.9,7.63,66.7,43.3,64.2,8.5,2,7.42,7.73
S20087,Female,21,High School,0.78,4.7,9.38,71.8,72.5,89.8,9.3,3,9.3,9.54
S20088,Male,17,High School,0.64,7.9,9.41,81.2,80.9,100.0,8.3,5,8.78,9.73
S20089,Female,24,Bachelor,0.94,2.2,9.16,68.4,58.3,59.8,10.0,2,8.51,9.48
S20090,Female,23,Master,0.98,4.7,8.05,81.8,85.0,73.5,10.0,0,7.47,8.61
S20091,Female,23,Master,0.73,3.1,8.86,61.3,55.7,71.2,7.6,2,8.35,8.94
S20092,Male,20,High School,0.99,3.8,8.29,69.9,63.9,67.1,10.0,2,8.28,8.48
S20093,Female,21,Master,0.73,5.2,6.26,66.9,70.3,62.7,7.7,4,6.09,6.57
S20094,Female,20,PhD,0.7,6.4,7.25,69.1,66.0,94.4,7.7,4,6.58,7.62
S20095,Female,20,Bachelor,0.97,4.4,5.43,66.3,70.9,64.0,10.0,2,4.89,5.99
S20096,Female,23,Bachelor,0.72,3.6,9.16,61.9,53.7,69.5,8.4,2,9.15,9.23
S20097,Female,17,PhD,0.9,7.3,5.45,84.8,92.4,89.2,9.9,0,4.93,5.79
S20098,Female,23,High School,0.88,8.0,7.22,92.1,97.7,100.0,10.0,1,6.52,7.65
S20099,Female,23,Bachelor,0.89,6.4,6.5,66.7,82.7,82.3,9.3,3,6.09,6.81
S20100,Male,23,Bachelor,0.91,4.1,6.98,70.3,62.5,65.8,10.0,2,6.73,7.36
S20101,Female,22,Master,0.81,5.1,9.57,88.7,68.6,97.6,8.2,2,9.22,10.0
S20102,Male,18,Master,0.85,4.6,6.98,62.5,66.0,59.1,9.0,1,6.55,7.61
S20103,Male,17,Master,0.64,8.0,6.64,77.2,79.4,97.3,7.4,4,6.64,6.68
S20104,Female,23,PhD,0.63,6.8,7.28,66.0,71.2,87.4,7.3,5,7.14,7.3
S20105,Female,17,Master,0.77,5.6,9.07,77.9,74.9,77.6,8.9,3,8.71,9.72
S20106,Female,24,High School,0.98,7.9,9.19,94.0,100.0,100.0,10.0,2,8.56,9.45
S20107,Female,23,PhD,0.71,1.3,9.88,57.9,44.8,57.9,8.7,4,9.88,10.0
S20108,Male,19,High School,0.68,3.8,8.32,72.3,57.4,76.5,7.7,3,8.01,8.4
S20109,Female,20,PhD,0.97,2.7,7.82,66.5,56.7,65.8,9.8,2,7.59,8.09
S20110,Male,20,Master,0.6,5.0,8.99,71.5,67.2,87.8,6.7,6,8.72,9.65
S20111,Male,24,High School,0.83,4.4,9.22,76.1,64.2,75.7,8.4,3,8.79,9.53
S20112,Female,17,Bachelor,0.61,1.7,7.15,46.5,33.7,48.0,7.5,3,6.46,7.48
S20113,Female,19,High School,0.7,2.5,7.84,63.3,45.9,58.2,8.8,3,7.43,7.92
S20114,Female,20,Bachelor,0.94,5.1,5.14,73.0,67.4,71.0,10.0,0,4.88,5.27
S20115,Female,19,Bachelor,0.68,4.4,6.02,63.7,63.9,65.1,7.0,5,5.49,6.11
S20116,Male,24,Master,0.95,4.1,8.98,84.0,70.4,81.9,10.0,1,8.38,9.29
S20117,Female,22,High School,0.89,5.4,9.15,85.3,83.0,84.9,10.0,2,9.07,9.42
S20118,Male,24,High School,0.77,6.1,8.71,82.0,80.8,98.2,9.1,3,8.62,9.33
S20119,Male,18,Master,0.62,2.3,9.01,54.0,53.3,60.1,8.1,4,8.66,9.1
S20120,Male,22,High School,0.63,1.8,5.45,30.0,36.3,30.3,7.1,5,4.94,5.55
S20121,Male,22,Bachelor,0.77,6.9,7.04,71.6,80.9,88.6,8.4,3,6.92,7.25
S20122,Female,20,Bachelor,0.74,7.5,8.08,81.6,84.9,100.0,8.9,4,7.82,8.77
S20123,Male,23,PhD,0.8,6.0,8.46,84.1,74.9,90.9,8.1,1,8.07,9.05
S20124,Female,21,PhD,0.75,3.4,6.95,60.5,60.6,49.9,8.4,2,6.63,7.52
S20125,Female,23,Master,0.68,4.0,6.34,58.8,59.1,67.4,8.7,4,6.09,6.81
S20126,Female,19,PhD,0.61,1.8,8.56,47.9,38.0,58.5,7.1,3,8.54,9.01
S20127,Male,24,Master,0.75,4.9,8.94,73.5,66.8,83.4,8.6,2,8.35,9.28
S20128,Male,20,High School,0.95,4.5,6.46,77.4,74.9,74.0,10.0,0,6.25,6.92
S20129,Female,17,Bachelor,0.71,5.1,5.27,58.9,55.2,67.6,8.2,3,4.75,5.28
S20130,Male,23,Bachelor,0.97,7.3,9.81,91.7,93.7,98.2,10.0,2,9.52,10.0
S20131,Male,17,Master,0.95,6.3,7.12,81.8,79.6,76.0,10.0,0,6.51,7.64
S20132,Male,24,High School,0.89,2.8,6.78,64.8,56.6,62.2,9.2,2,6.23,7.02
S20133,Male,21,Master,0.77,1.3,5.13,42.6,47.0,22.3,9.4,2,4.99,5.15
S20134,Female,19,Master,0.84,5.5,5.23,80.1,74.8,78.3,9.0,2,4.54,5.68
S20135,Female,24,Bachelor,0.77,1.5,9.32,62.7,53.6,50.3,8.8,4,8.93,9.33
S20136,Female,19,High School,0.71,4.5,8.56,67.5,63.8,72.8,8.1,2,8.2,9.16
S20137,Female,22,Master,0.73,2.0,6.66,51.7,39.0,54.3,8.1,4,6.42,7.34
S20138,Male,17,High School,0.7,4.7,7.05,62.7,61.3,67.7,8.4,5,6.68,7.19
S20139,Female,21,Bachelor,0.68,7.8,5.4,67.2,82.2,79.9,7.4,5,5.05,5.5
S20140,Female,18,High School,0.65,4.6,5.13,54.3,54.6,59.0,7.9,4,4.57,5.27
S20141,Female,19,Master,0.7,4.1,8.15,67.0,63.6,67.6,7.6,4,8.08,8.55
S20142,Male,18,PhD,0.94,6.3,5.2,80.6,83.1,79.0,9.6,2,4.59,5.32
S20143,Male,19,PhD,0.88,3.0,9.47,73.7,63.8,63.8,9.4,2,9.46,9.83
S20144,Female,17,Bachelor,0.98,3.9,6.69,73.8,66.6,62.0,10.0,1,6.09,7.24
S20145,Female,21,PhD,0.62,7.9,6.1,69.2,78.0,87.9,6.5,3,5.47,6.37
S20146,Male,17,PhD,0.88,2.1,6.65,62.0,56.3,40.3,10.0,3,6.17,6.68
S20147,Male,17,PhD,0.73,6.3,7.38,70.3,77.1,81.2,7.5,3,6.89,7.6
S20148,Male,18,PhD,0.78,1.1,8.07,58.8,53.6,58.7,9.0,4,7.51,8.26
S20149,Female,19,Master,1.0,7.5,7.56,84.5,87.4,96.8,10.0,2,7.11,7.98
S20150,Male,19,Master,0.78,1.2,6.07,51.1,51.9,30.8,9.4,4,5.73,6.14
S20151,Female,20,Master,0.97,5.0,6.09,83.3,80.4,64.0,10.0,0,5.86,6.13
S20152,Male,22,High School,0.61,1.2,5.3,40.8,44.4,39.1,6.8,3,4.92,5.5
S20153,Female,18,Master,0.91,6.0,8.18,88.8,85.6,92.5,9.9,0,8.15,8.2
S20154,Female,23,Bachelor,0.75,7.7,7.39,81.8,86.6,98.8,8.5,4,6.76,7.63
S20155,Female,19,High School,0.86,7.4,5.66,84.8,93.1,83.9,10.0,2,5.53,6.33
S20156,Male,22,PhD,0.75,6.7,5.99,79.6,75.2,85.1,8.5,4,5.59,6.64
S20157,Female,24,Bachelor,0.92,5.9,5.94,74.9,72.4,73.0,10.0,1,5.73,6.07
S20158,Female,21,PhD,0.71,3.2,8.15,67.9,50.5,73.5,7.7,3,8.06,8.2
S20159,Male,22,Bachelor,0.94,2.0,9.56,72.6,56.0,65.2,10.0,2,8.93,10.0
S20160,Male,17,High School,0.82,5.6,9.01,84.2,79.0,93.0,10.0,2,8.41,9.41
S20161,Female,24,High School,0.9,4.0,8.07,81.2,66.1,78.5,9.5,1,7.9,8.08
S20162,Female,24,Master,0.69,4.2,9.18,66.1,55.1,78.3,7.8,4,8.49,9.82
S20163,Female,19,High School,0.87,1.5,8.56,62.4,55.2,57.0,10.0,2,8.21,9.12
S20164,Male,23,High School,0.82,1.8,9.64,70.4,53.4,59.0,10.0,1,9.41,10.0
S20165,Male,20,Bachelor,0.69,3.8,7.51,65.7,58.0,82.2,8.2,4,6.98,7.56
S20166,Male,24,Master,0.81,3.1,7.11,64.0,59.9,63.2,9.4,3,6.46,7.73
S20167,Male,21,Master,0.91,7.4,8.83,93.1,86.8,100.0,9.2,2,8.78,9.39
S20168,Male,20,PhD,0.84,3.1,5.67,65.1,68.2,62.4,9.0,2,5.33,6.34
S20169,Male,19,Master,0.76,6.1,8.06,77.3,69.0,86.4,9.3,3,7.9,8.17
S20170,Male,19,Bachelor,0.93,5.4,9.34,97.4,85.6,93.4,9.5,1,9.05,9.65
S20171,Male,17,Master,0.71,4.6,9.98,74.6,56.6,86.1,8.2,4,9.92,10.0
S20172,Male,24,Bachelor,0.7,4.5,7.06,60.2,65.0,70.1,7.3,4,6.79,7.24
